Week,date,hospitalizedCurrently,death,hospitalized,total,deathIncrease,#NAME?,Disapproval
8,5/13/2020,44514,78343,149347,9976814,1726,,
8,5/12/2020,45199,76617,142861,9639733,1510,45,53
8,20200511,44191,75107,145981,9350447,837,42,52
8,20200510,44943,74270,144780,8963257,979,46,53.5
8,20200509,46637,73291,147212,8689554,1529,44,53
7,20200508,47718,71762,142037,8393313,1760,39.128211,50.102225
7,20200507,49130,70002,135176,8094032,2746,38.128211,56.102225
7,20200506,50227,67256,131477,7789535,1949,43.116402,53.880934
7,20200505,50906,65307,129357,7546961,2527,37.266425,60.34701
7,20200504,50062,62780,127397,7288165,912,40.116402,53.880934
7,20200503,50312,61868,125796,7056178,1158,33.711141,60.63013
7,20200502,51734,60710,123860,6806819,1651,35.116402,62.880934
6,20200501,52370,59059,121748,6554241,1739,39.903592,52.040623
6,20200430,53793,57320,111987,6258544,2138,42.116402,54.880934
6,20200429,54930,55182,109690,6031002,2700,31.844823,51.989256
6,20200428,54940,52482,106308,5800479,2128,40.128211,53.102225
6,20200427,54971,50354,104249,5597572,1190,38.682192,58.94594
6,20200426,55050,49164,101233,5408582,1095,28.116402,65.880934
6,20200425,56344,48069,99099,5203032,1818,35.116402,57.880934
5,20200424,56075,46251,96677,4925198,1842,42.767869,54.498174
5,20200423,57889,44409,93451,4692959,1814,38.116402,52.880934
5,20200422,58130,42595,90744,4500510,2041,39.297135,54.360416
5,20200421,58579,40554,87822,4185384,2555,40.370617,56.7963
5,20200420,55677,37999,85134,4037355,1699,43.801428,53.071375
5,20200419,55570,36300,83030,3896910,1659,44.467869,52.698174
5,20200418,56591,34641,80900,3735102,1787,44.128211,44.102225
4,20200417,57808,32854,77455,3593748,2065,31.116402,55.880934
4,20200416,58625,30789,74176,3441617,2161,45.038623,49.846021
4,20200415,59260,28628,71238,3279465,2562,32.116402,51.880934
4,20200414,58719,26066,66908,3142473,2312,42.266425,53.34701
4,20200413,55295,23754,63743,2992474,1517,49.178904,48.51768
4,20200412,54749,22237,61480,2858741,1551,40.801428,56.071375
4,20200411,54757,20686,58936,2718353,1935,43.128211,49.102225
3,20200410,51745,18751,56821,2579484,2092,41.711141,46.63013
3,20200409,49826,16659,52606,2421884,1922,45.128211,49.102225
3,20200408,44063,14737,49453,2255648,1896,39.116402,43.880934
3,20200407,42294,12841,45896,2110544,1904,38.116402,53.880934
3,20200406,34663,10937,43624,1958534,1223,33.075663,48.251396
3,20200405,30905,9714,40710,1807824,1227,42.038623,52.846021
3,20200404,29095,8487,37969,1686431,1375,38.116402,49.880934
2,20200403,24564,7112,33501,1504041,1188,36.882757,47.682988
2,20200402,21833,5924,29543,1371930,1101,52.128211,52.102225
2,20200401,19982,4823,25810,1251475,946,41.711141,48.63013
2,20200331,17856,3877,22010,1143746,817,45.116402,43.880934
2,20200330,15574,3060,18484,1038503,533,45.266425,52.34701
2,20200329,13833,2527,16236,921229,489,38.116402,47.880934
2,20200328,12179,2038,13722,832613,434,41.038623,53.846021
1,20200327,10789,1604,11534,722629,373,40.538623,54.346021
1,20200326,7617,1231,9140,619719,278,45.178904,48.51768
1,20200325,4971,953,5436,510239,228,46.711141,41.63013
1,20200324,3828,725,4091,389950,204,48.116402,43.880934
1,20200323,2770,521,3258,321475,84,47.116402,44.880934
1,20200322,2155,437,2498,252611,131,40.128211,48.102225
1,20200321,1436,306,1964,208635,53,45.038623,49.846021
